Original(Korean),Our Translation(google trans),comp1 score,comp2 score,comp3 score
아야 ~ ,Ouch,0.571548,0.697850,0.619948
뭐가 웃겨 이것들아 아파죽겠는데...,Whats funny exist that these things will injure,0.649409,0.690215,0.742498
괜찮아? 어디 봐?,Sooner State Where set you search,0.456889,0.646838,0.834492
아 ~ 괜찮아 ,Ah its okay,0.538362,0.641591,0.764990
이구 이 덜렁아 ~ 지진 나는 줄 알았다. ,I guess this exist a sloppy earthquake,0.656863,0.661356,0.754487
하~ 꿈꿨어 .... 하 뭐 이런 꿈을 꾸지?,Ha I had a dream ha What are you dreaming like,0.626120,0.626070,0.776989
이 빨갱이들.. 하필이면 시험 마지막 날 쳐들어오고 있어. 명효야! 그거 하나만 .... ,These Bolshevik Theyre descend in on the last daytime of the test Myeonghyo Thats only one,0.597840,0.645999,0.753830
웬 양이 이렇게 많아? ,How many exist there,0.640930,0.697372,0.714247
이게 진짜 죽을래? 이거나 도와줘 ,Will this rattling exit Or serve me,0.590724,0.679142,0.781211
아 배야 아~ 어제 라면 먹지 말걸. 명효야 이것 좀 걷어서 세면장으로 와 .  아~,Ah my belly ah Dont eat ramen yesterday Myeonghyo seed pass to the pot Oh,0.548957,0.602188,0.819344
아 똥.... 야 좀 빨리 나와 . 아아 !!,Oh dirt Hey come out a short quicker Ah,0.528138,0.621551,0.788211
누가 이나 좀 도와줘라. 오늘 빨갱이 쳐들어와서 신경이 예민하시다. ㅎㅎ,soul aid me Today red black pepper get along in and exist neural hehe,0.581672,0.623325,0.788294
이명효.. 너 볼일 보고나서 두고 봐 죽었어....,Spike Lee Myeonghyo After project your workplace I allow you dead,0.530926,0.589809,0.757586
너 그러다 싸겠다. ,You will exist inexpensive,0.585723,0.675393,0.751834
야!,Hey,0.323217,0.323217,0.540353
응 영양제 먹었어. 엄마. 응 알았어... ,Yes I engage a nutritional supplement mum yea I start it,0.524722,0.692162,0.806861
전화 좀 나가서 받을래?,Would you like to conk out out and respond the headphone,0.490732,0.570287,0.813053
엄마 끊어  남 상관 말고 니 할일이나 해,Dont tending about your mama set your chore,0.583291,0.609704,0.787783
여기 너 혼자만 있어? 신경 쓰이니까 나가서 전화 하라구 . ,Are you solely hither Im interest and then conk out out and shout out me,0.616623,0.614181,0.774103
엄마 없는 건 니 사정이지 나한테 왜 그래,Its your situation without a mother why do you do that to me,0.613381,0.580591,0.752352
뭐 이 새끼야? ,What is this kid,0.688380,0.711644,0.791085
강이나 좀 조용히 하자. 공부하는 사람들 있잖아 ... ,Let the river constitute quiet There are people who study,0.630696,0.538448,0.783958
입에 금수저 물고 난 자제분들 이라고 서로 편먹는 거니 너 네들.... ,Are you jest at plain to me that Im a nipper who get a gold spoon in my back talk,0.559611,0.596190,0.769534
말이 좀 심하다.,Im a short speechless,0.563554,0.563554,0.668335
엄마 놓고 이상한 소리 해댄 건 니들이야,Its you who draw a strange noise over your female parent,0.537665,0.575974,0.706496
내가 언제 엄마를 걸고 넘어졌니? ,When did I tumble on my female parent,0.729553,0.658300,0.744386
학교에서는 엘리트 행세 다 하고 다니면서 니들끼리 이상한 말 퍼트리고 다니는 거 ,At school day youre all elite disseminate strange tidings among yourself,0.568473,0.692101,0.837922
말 좀 가려서 해라. 추하다.... 너 엄마 없는 건 사실이잖아,make some hiding Ugly Its true that you dont have a female parent,0.629829,0.641985,0.744787
이것들이 선생님들까지 벌벌 기니까 뵈는 게 없지?!,Since these are punished even by the teachers there is nothing to lose,0.652214,0.670287,0.756300
그거야 능력이지... ,Thats the ability,0.644769,0.749357,0.696296
아니지 편법이지,No its a cutoff,0.562434,0.636719,0.751402
너랑 상대하는 시간이 아깝다. 선생님한테 그대로 얘기해 줄까?,Its a waste product of time dealing with you Would you like to talk to the instructor,0.604379,0.657420,0.771876
육성회장님 한테 얘기하는 게 아니구?,Youre not talking to President Foster Sung,0.594375,0.630860,0.772983
억울하면 넌 강현한테 일러. ,If it is unfair you will tell Kang Hyun,0.601444,0.655631,0.740766
너 되게 유치하구나.,You equal indeed childish,0.548244,0.656538,0.768157
"야야 주번, 일루 와~ 이거 장난감 핸드폰 아니야? 다시 가져와 임마",Hey lord add up on Isnt this a plaything headphone Bring it backward fop,0.557182,0.585960,0.775113
아 새끼 거 냄새난다. 임마~ 얼마나 마신거야?,Oh it smells like a baby How long take in you been drinking,0.636013,0.647760,0.730633
김세임  땜에 죽도록 마셨어요. 중간에 도망가면 어떡해요.,I snuff it because of Kim Seim What to practice if you track down aside,0.566182,0.643044,0.782903
시험문제 검수하느라고 전날 날 꼬박 샜어 너무 피곤하더라고.,I represent therefore tired that I stir up up the daytime before tally the test interrogation,0.562788,0.593512,0.729117
선배는 시험을 무슨 예술로 보는 경향이 있어. 대충 퍼다 가 내면 되지.,Seniors tend to visit the test as an artistry You just need to spread it out,0.663271,0.666289,0.807074
야 임마 내신 하나에 애들 미래가 달라져... 변별력 있게 내야지 너처럼 대충 하면 되겠어? ,Hey guys the future of the kids constitute different for one I ingest to exist discerning,0.604450,0.667181,0.779693
선배가 고민해서 안해도 우리학교 애들 다 지들이 알아서 열심히 해.,Even if my seniors dont worry about it all the kids in our school take care of it,0.638776,0.637793,0.771747
네 안녕 하세요 선생님,Yes howdy instructor,0.501644,0.665398,0.816561
왜 이렇게 안색이 안 좋으세요.,Why exist you so uncomfortable,0.657124,0.678276,0.726561
그런가요?,is that so,0.688983,0.724949,0.636149
저 샘은 웃는 걸 본 적이 없어 ,That Sam never learn me smile,0.520862,0.683373,0.778515
어때 이쁘잖아,Hows it pretty,0.639844,0.639844,0.740734
아니 학교에 아직도 담 넘어 다니는 학생이 있다니 이게 말이 되요? ,No set this pretend good sense that there equal nonetheless student in the schooling yet walking over the walls,0.579195,0.629013,0.815162
너 지금 뭐하는 거니? ,What make up you practice now,0.656180,0.656180,0.711534
.............,,1.000000,1.000000,1.000000
다시 풀어. 장난하지 말고...,Release again Dont constitute kidding,0.546797,0.633051,0.782843
왜 그래? 무슨 일 있어?,What is it Whats going on,0.751733,0.768414,0.753235
시험지가 이상해요...,The examination composition constitute weird,0.410864,0.642977,0.861501
너무 긴장해서 그래 .. 천천히 풀어... 자~ 일어나,Im and then neural Slowly spill it,0.569458,0.692744,0.817818
망했어 난 망했어....,Im make love Im make love,0.576649,0.619099,0.691016
오. 마이갓 정말이야? 답이 이거야?? ,Five Really The reply exist this,0.573112,0.592378,0.718433
"시험도 끝나고, 날씨도 예술이고... 일찍 끝났는데 뭐 재밌는 거 없나?",The exam is over the weather is art I ended up early is there anything interesting,0.609990,0.653543,0.758910
이거나 널어. ,Or its up,0.554084,0.592554,0.642905
너 양이 많은 걸 보니까 스트레스 너무 많이 받은 거 아니야?,see that you get a mountain didnt you bring besides much tension,0.652640,0.639230,0.754716
정말 오늘은 최악이다. 꿈땜에 그런가?,It rattling exist the regretful today embody it because of your dreaming,0.515800,0.627076,0.830969
무슨 꿈? ,What dream,0.622729,0.674792,0.807001
얘기했잖아. 이상한 꿈 꿨 다구... 하~ 시험 잘 봤어?,I distinguish you I accept a strange ambition hour angle Did you cause easily on the exam,0.538586,0.617610,0.826379
응 느낌이 좋아 꿈땜에 그런가?,Yes I feel good cost it because of my dream,0.614994,0.654187,0.734530
무슨 꿈?,What dream,0.622729,0.674792,0.807001
원빈오빠랑 자는 꿈... ,Wonbins dream of sleeping,0.731790,0.668694,0.722548
빈 오빠가 미쳤냐? 너하고 자게?,be your empty sidekick crazy nap with you,0.580058,0.638787,0.770047
꿈인데 뭐...,Its a dream,0.566626,0.541222,0.801676
"안 돼, 꿈도 허락 할 수 없어. ",No I cant over still allow dreams,0.562911,0.540315,0.723510
막~  해주는데 정말 하는 거 같더라니까,Im just doing it but it seems like Im really doing it,0.664215,0.664215,0.748287
아~ 안돼 미친년.... 일루와 ,Ah nobelium crazy daughter Illuwa,0.524213,0.648575,0.755788
으구 기집 애 이제 좀 웃네..,Ugh little girl now laugh a little,0.638426,0.706598,0.748496
여기가 여자 기숙사 옥상이구나?,exist this the rooftop of a female dormitory,0.565532,0.611013,0.719923
어머~ 현아 ,Oh Hyuna,0.680863,0.499568,0.790957
너 여기 어떻게 왔냐? ,How cost you hither,0.544967,0.655587,0.781524
이 오빠가 못 가는 데가 어딨겠냐.  ,Where can this crony not extend,0.580959,0.649555,0.775581
사감 선생님 오기 전에 가라,Go before the sensational teacher comes,0.675352,0.657505,0.710220
200일주 한잔 해야지. 스트레스도 풀고...,I necessitate a drink for 200 weeks Relieve stress,0.607896,0.622851,0.775778
어 진짜 200일 밖에 안 남았구나..,Uh there exist only 200 Clarence Day impart,0.613397,0.564594,0.756609
뭘 또 맞장구 치고 있어...,What else are you playing against,0.672022,0.672022,0.780231
중간고사도 끝났는데 클럽 놀러 와라 파티 한다.,The midterm exam examination constitute over but we follow to the guild to party,0.531721,0.613264,0.776343
너나 파티 하세요. 학교를 왜 다니는지 도무지 알 수 없는 정신없는 놈아. ,get a party with you I slant number out why I extend to school,0.510324,0.654435,0.837403
꼭 와야 돼. 니들 안 오면 내가 납치하는 수가 있다. 내가 맘먹으면 할 수 있다는 거 알지?,Must follow If you dont amount I can kidnap you You fuck I can practice it if I care it,0.508027,0.619355,0.808595
그래봐 그랬다간 죽는 수가 있다.,Yes and then you can give out,0.503273,0.685535,0.834200
제발 납치해 줬으면 좋겠다.,I trust you kidnapped me,0.528919,0.583252,0.833991
지랄을 해요.. 아주~,Im bang very,0.479217,0.536302,0.784596
아 왜~ 멋있잖아. ,Oh why Its cool,0.601831,0.635312,0.787017
아 뭐야 진짜 이런 거 공개 안하면 안 돼? 이런 거 공개하는 학교가 어딨어 짜증나 ,Oh what can we very dress Why represent it gravel to get a schooling that eject this,0.569900,0.630494,0.784581
아 시발 ~ 한 등급 또 떨어 졌어.,Ah fuck one grade drop again,0.582508,0.660403,0.759793
이나야? 괜찮아?,Ina Sooner State,0.676232,0.566285,0.745586
어? 어.... 내가 뭐 천재냐? 매번 장학금 타게.,uh Uh what am I a genius Get a scholarship every time,0.614925,0.636479,0.760567
그래도....,still,0.734847,0.779289,0.624989
걱정 하지마. 윤명효! 4등 등극을 축하한다! 딸기우유나 한잔 쏴라,Do not worry about it Yoon Myeonghyo Congratulations on your fourth place Take a glass of strawberry milk,0.560712,0.590480,0.761189
쥐포도 쏠게 ,ailment shoot down the grapes,0.442182,0.683945,0.796105
좋지,good,0.461880,0.666667,0.678179
3학년 1등 또 황선생 반이네 대단해. 어떻게 황선생은 어떤 애들을 붙여놔도 1등이네.,Hwang Senseis grade represent besides great nobelium matter how many kids you impound Hwang exist the first station,0.643239,0.643239,0.750200
애들이 열심히 해서 그런거죠 뭐,Its because the kids cultivate hard,0.674512,0.711220,0.743422
최선생... 분발 해야겠어 . 3등으로 떨어졌어요.,Best student I have to adjudicate It fell to third place,0.609495,0.652199,0.773007
죽일 거야 죽일 거야 다 !,I will kill you I will kill you all,0.749672,0.749672,0.781689
야! 조범! 조용히 안 해! ,Hey Jo Bum Dont be quiet,0.657302,0.657302,0.745883
뭐야 저 병신새끼. 시험 기간만 되면 아주 생 지랄을 해요.,What be that mother fucker After the test flow Im rattling sick,0.480199,0.679364,0.794416
작년부터 애가 좀 이상해 왜 저래?,The kid has been a bit weird since last year,0.674673,0.687381,0.761964
다친데 없어?,Are you spite,0.445028,0.589308,0.723545
어 ~ 괜찮아...,Uh its okay,0.502727,0.618012,0.791930
10분 뒤에 아침조회가 있을 예정이오니 학생들은 모두 운동장으로 나와 주시기 바랍니다.,There will be a morning inquiry in 10 minutes so all students represent requested to come to the playground,0.640704,0.589740,0.765011
조용! 조용! 선생님들께서는 속히 아이들을 정렬해주시기 바랍니다.,quiet quiet Teachers are expected to sort the children as soon as possible,0.634389,0.636985,0.770062
노래 어때 ? ,How about telling,0.498186,0.649522,0.822832
너 미친 거 아니냐?,Are you crazy,0.404750,0.599230,0.774495
학교가 이런 맛도 있어야지 ...,schooling should take in this taste,0.664476,0.756395,0.736237
너 나한테 잘 보여라 여차하면 신고해 버린다.,If you nevertheless point me intimately describe it,0.632371,0.559037,0.753890
강현! ,Ganghyun,0.850210,0.850210,0.862516
니들은 들어가  또 너지? ,You go in and you again,0.620846,0.695456,0.769981
"선생님께서는 왜 증거도 없이, 사람부터 때리세요? ",Why get along you hit multitude first without evidence,0.573805,0.658171,0.776069
증거?  너 증거라고 그랬냐? 이 자식이.... ,evidence Did you say its validation This child,0.677438,0.726544,0.741174
"이 선생, 흥분하지 말고, 그만 해요. 내가 알아듣게 얘기할게...",Teacher dont get stimulate stop ailment assure you to translate,0.555000,0.606060,0.786766
넌 내가 담임이었으면 오늘 가만 안 놔둬...,If you constitute my home room dont leave today,0.561028,0.540532,0.791841
알았어요. 내가 교육 시킬께요. ,I consider I will develop you,0.500117,0.630839,0.793523
"선생님, 긴급 교무회의 한다고 교무실로 바로 오시래요...",Teacher I require to issue forth to the instructor position for an exigency academy meeting,0.538557,0.548298,0.786387
아 또 잔소리 꽤나 듣겠구만....,Oh Im going to hear some nagging again,0.644816,0.614522,0.759943
선배 어떻게 할 꺼야... 지금 교장실 난리 났어요. ,What exist you going to do The principals office is in trouble,0.625351,0.671104,0.733317
왜 틀린 거 하나도 없 더 구만 노래도 좋구...,Why isnt there anything wrong and the song is good,0.616007,0.648654,0.739054
반만 1등하면 뭐해요. 학교 이미지 다 망쳐 놓는데... ,What manage you do if you are first in class It ruined all the school images,0.610685,0.636273,0.734787
무슨 말을 그렇게 해요...,What manage you allege,0.507944,0.726870,0.764094
1학년 때 수학여행 가서 ,I depart on a school stumble in the first grade,0.614185,0.735694,0.758529
야 매로 다스릴 애였으면 벌써 그렇게 했어. 강현이 나쁜 애 아니야... 애를 이해하고 다스려야지 ,If you were the one to rule with hawks you already did Kanghyun is not a bad boy I have to understand and govern him,0.603229,0.612464,0.738351
하긴 뭐 애들 인기에 워낙 신경 쓰시니... ,But what make you deal about kids popularity,0.612539,0.665092,0.768263
내가 아이돌 인가? 결혼을 안 해서 애들 맘을 잘 모르시죠? ,Am I an idol Youre not married thence you dont bonk the Thomas Kyd intellect,0.626325,0.620854,0.736178
왜 그래요 들 ... 열 받는 건 난데 왜 둘이 싸우고 난리야 ,Why exist you guys Im getting fevered,0.530068,0.631636,0.849545
앉아요. 금쪽같은 수업 빼서 회의 하는 거니까 간단히 전달 사항만 얘기하겠습니다.,sit down please Since cost having a meeting without a class like this Ill just talk about the details,0.619711,0.671262,0.775707
네 ,Yeah,1.000000,1.000000,0.843826
아이들 발음문제 특별히 신경 쓰시기 바랍니다. 이번에 기대하겠습니다.,Please pay special attention to childrens pronunciation problems We look forward to this,0.620098,0.591524,0.731446
네 ...,Yeah,1.000000,1.000000,0.843826
기획서 누가 작성 했습니까?,Who spell the proposition,0.500352,0.644688,0.804797
네 제가 했습니다. ,Yes I manage,0.477885,0.649803,0.835986
음  여기 나온 대로 진행 할 테니까 선생님이 전체 통솔을 맡아 주고.. ,easily Im going to proceed as shown here so the teacher will take care of the whole thing,0.624236,0.636684,0.771564
네 ... 반 학생 중에 영어를 좀 하는 녀석이 있어서 도움을 좀 청하려고 합니다. ,Yes Some of my classmates speak English and then Im going to ask for some help,0.602006,0.674324,0.759879
그건 알아서 하세요. 하~ 오늘 아침조회는 도대체 뭡니까? 긴말 않겠어요.,make out it yourself Ha Whats the good morning inquiry I wont say a tenacious discussion,0.602906,0.634271,0.731417
시말서 준비하셔야 겠네요 ...,You should constitute develop,0.589473,0.683388,0.773015
이번 주말까지 성적 떨어진 사람 연습장 3권씩 채워... ,Fill in 3 practice books for those who have lost grades until this weekend,0.608524,0.618893,0.744367
니들 커서 나같이 선생이나 할래? 이 학교 나와서 연 고대 밑으로 갈 꺼야?,Would you like to exist a instructor like me when you turn up Are you depart to get away of this schooling and conk down to ancient clip,0.496043,0.640103,0.813676
선생님 저희 학원도 가야돼는데...,Teacher Our schoolhouse also experience to endure,0.640154,0.601304,0.761782
신곡발표가 너무 요란했던 거 아니야? ,Wasnt the new strain announcement also loud,0.530685,0.641646,0.776468
죄송합니다. 선생님. ,Sorry instructor,0.363357,0.637156,0.810138
선생님이 이번엔 커버해 준다. 노래가 좋아서 봐주는 거야... ,The instructor handle this time I like the vocal because I like it,0.603687,0.668839,0.763674
선생님! 놀톤데... ,instructor Im surprised,0.676969,0.652036,0.685827
그러니까 벌이지 임마 .... ,and then dude dude,0.617078,0.702561,0.797415
뭘 해야 하는지 는 알고.... ,I bang what to answer,0.501444,0.597018,0.811623
나와 보면 알아. 그럼 그렇게 결정 난거다. ,Look at me and get laid Then it was decided,0.635172,0.699103,0.793415
차라리 화장실 청소할게요. 선생님! 저 주말에 공연해야 돼는 데...,Gem State rather clean the bathroom Teacher I involve to perform that weekend,0.625078,0.642920,0.782925
아~ 내일 주말인데 다른 애들 다 집에 가고 이게 뭐야,Ah Tomorrow is the weekend all the other kids go home and what is this,0.621771,0.608353,0.747470
야 영광으로 생각해. 그래도 학교 대표로 나가는 건데.. 나는 방도 우리만 쓰니까 좋구만...,Hey Im abide by Im even extend to cost the school day instance,0.496012,0.626286,0.841384
스무 명이 참가한다고 했나?  이나야 오늘 클럽 가자. 사감장도 없는데,Did twenty people say they would participate Inaya Lets go to the club today I dont have a supervisor,0.632116,0.608739,0.752824
기숙사 탈출하자고? ... 너 왜 갑자기 안하던 짓을 하고 그래,You require to get away the dormitory why make you get along something you didnt short set,0.513701,0.592104,0.786558
내가 점점 널 닮아 가나봐 히~,Im commence more and more like you,0.581303,0.499097,0.771742
허~ 참. ,Huh True,0.733989,0.733989,0.807523
이나야 ...,Inaya,0.760372,0.760372,0.893358
그 한심한 놈이 그렇게 좋니?,Is that pathetic guy indeed good,0.645665,0.704593,0.769301
응~,Yes,0.734847,0.900000,0.715132
그럼 좋다고 해~! ,Then order good,0.656452,0.690064,0.781514
못 하겠어. ,I slant,0.413603,0.589141,0.772291
내가 대신 말해줘?,Can I tell you instead,0.600071,0.684450,0.749057
싫어. 안 돼.... ,Hate No,0.636526,0.690234,0.799809
너 혼자가! ,You go alone,0.656926,0.570704,0.735775
"야 이나야, 너는 걔랑 친하잖아 나 혼자는 못 가겠단 말이야.",Hey ina youre last to her I pitch conk out solely,0.432615,0.633511,0.838887
몰라 기집애야 너 혼자가! ,I dont know lady friend you die solely,0.515511,0.617581,0.777545
거기 누구요?,Who cost there,0.401727,0.554118,0.698473
허허허헉.....,Huh huh huh,0.701027,0.680142,0.711466
뭐하는 거야? 거기서,What personify you set at there,0.642363,0.643987,0.746666
뭘 보고 이러는 거야 지금... 어이 학생 왜 그래~,What follow you behave here,0.331489,0.570495,0.865846
대학생 맞아요? 이거 학생증 위조 한 거 아니죠?,Are you a college student Isnt this a fake student Gem State,0.587498,0.615012,0.745001
저희가 고등학생으로 보여요? ,behave we look like high-pitched school students,0.628664,0.641269,0.773637
와줘서 고맙다.,Thank you for come up,0.553886,0.553886,0.700460
나한테 고마울 거 없어. 명효가 오자고 해서 온 거야. 그래도 뭐 생각보다 재밌네. ,Theres nothing to thank me for It was because Myeonghyo asked to come Its more fun than I thought,0.613120,0.620297,0.770819
뭔데? ,What,0.361824,0.778105,0.692295
너 같은 꼴통이 어떻게 우리 학교를 왔냐? 중학교 때 공부 좀 했냐?,How cause a schoolhouse like you hail to our schooling Did you take in middle schooling,0.587724,0.568324,0.800323
비밀인데 너니까 얘기해줄게.... 학교에 버스 3대 사주고 입학했어.,Its a secret indeed Ill tell you I bought three buses and went to school,0.612044,0.675650,0.794438
아~ 그래? 버스 3대면 우리학교 들어올 수 있구나... ,Ah Three buses can put down our schooling,0.528236,0.623607,0.834475
겁 대가리 없는 건 학교지... 너 우리학교 비리가 얼마나 많은 줄 알어? ,Its school without fear How many get along you make love about our school corruption,0.612017,0.619149,0.754334
너 또 다음에는 무슨 짓을 하려구,What are you going to do next sentence,0.610946,0.650162,0.783334
학교가 한번 발칵 뒤집어질만한 좋은 계획이 있지... ,I hold a good architectural plan for the schooling to alternate over once,0.569221,0.569221,0.740065
너도 참 한심한 청춘이다. 그래 학교 다니는 또 하나의 이유가 뭐냐?,You cost besides a pathetic younker So what make up another cause for going to schooling,0.631770,0.594934,0.741711
또 하나는 ....... 너. ,Another one you,0.502466,0.535167,0.708220
새끼 어디서 수작 피우기는.... ,Where get along you fume,0.488904,0.638052,0.800708
수작이라니.... 나도 궁금한 게 있어,Its a masterpiece I cause a doubt also,0.496614,0.587090,0.779583
뭐,What,0.511696,0.511696,0.800700
왜 이렇게 장학금에 민감해?,Why are you so sensitive to scholarships,0.625428,0.609299,0.752533
너같이 있는 놈들 한 테는 별거 아니지만 난 달라 더 이상은 묻지마. ,Its no big great deal for cat like you but Im unlike dont need any more than,0.640657,0.661577,0.790505
눈 풀어라. 느끼하다.,turn your eyes greasy,0.636013,0.550959,0.789921
야 근데 좃 밥이 뭐냐?,Hey whats her rice,0.446185,0.564912,0.844786
어? 그런 게 있어 ,uh There is something like that,0.603257,0.752403,0.739895
나중에 알려줘라 ... 야 이명효 가자,Let me be intimate later hey lets go,0.627453,0.631388,0.754054
야 오늘은 특별수업인데 꼭 걷어야 되냐? ,Hey today exist a special class should I walk,0.607407,0.715787,0.762958
악마의 입 냄새 가 걷으랬어. ,The devils verbalize told me to walk,0.620577,0.624235,0.737721
마저 걷어서 복도 사물함에 놓고 와 ...,Even walk and put it in the locker in the hall,0.612352,0.612352,0.738382
혜영 이는 아직 안 왔구요. 동혁이는 똥 싸러 갔어요.,Hyeyoung hasnt come yet Donghyuk went to fight shit,0.604769,0.628630,0.829857
웃음...,gag,0.600124,0.597827,0.678798
혜영이가 그럴 애가 아닌데... 무슨 일 있나? 이나야 너 기숙사 좀 갔다와봐,Hyeyoung represent not a kid Whats going on I think you went to the residence hall,0.613526,0.643145,0.779499
네? 네~,Yeah Yes,0.831182,0.943431,0.691202
"조범, 너 언제부터 이랬니?",Jo Bum when did you do this,0.732504,0.646037,0.800897
시험 때만 되면 이상 한 게 보여요,I can see something strange at the time of the exam,0.663198,0.668802,0.732620
뭐가 보이는데?,What practice you go steady,0.497248,0.574872,0.781954
여자요...무섭게 생긴...,adult female looks scary,0.730091,0.730091,0.749682
근데 팔은 왜 이렇게 만들어 놨어,But why did you make your arm like this,0.629635,0.646870,0.757233
내가 그러는 게 아니 예요. 걔가 그러는 거지,Im not like that Thats what he set,0.570208,0.749472,0.800374
그래 가서 앉아 ,Yeah conk sit,0.641995,0.693203,0.744902
조금 있다가 최소영 선생님 들어오셔서 VTR수업 할 꺼니까 그동안 자습하고 있어...,After a while Mr Choi Choi will get along in and take a VTR class and then Ive constitute studying,0.639840,0.659194,0.738455
아 진짜 나는 왜 남아야 하냐고. 아무런 관련도 없는데...,Oh really why should I stay on It have got goose egg to practice with,0.566108,0.527257,0.785716
넌 임마 군기반장 이잖아. ,Youre the top dog of the USA,0.578966,0.605624,0.754076
괜히 선배가 기획서 도와 달라고 그래서 나까지 남은 거 아냐,It wasnt until the seniors demand me to assist with the marriage offer,0.616201,0.602989,0.768749
"짜식, 선생이 되가지고 학교 좀 오는 게 어때서 그래.... 참, 최선생님.",Jasik its like being a teacher and coming to school a little bit,0.645992,0.693061,0.817495
조범이 말예요 혹시 부모님 만나 보셨어요?,Jo hind end hold you play your parents,0.501124,0.636021,0.801081
